layer,lima_32,lima_37,lima_77,lima_22,lima_56
model.embed_tokens.weight,0.2460293099129289,0.25089212021167157,0.2930688687435882,0.2612829522191641,0.2733515196206832
model.layers.0.self_attn.q_proj.weight,0.05579787384056453,0.04706896384954211,0.1715952459656009,0.1419020552346798,0.21898880155687525
model.layers.0.self_attn.k_proj.weight,0.05288122309883511,0.145197462121205,0.12309773195407668,0.18369288784373833,0.24786020484850513
model.layers.0.self_attn.v_proj.weight,0.09489056720691559,0.1365341609166201,0.12874027136746727,0.20406730392290676,0.253914888504233
model.layers.0.self_attn.o_proj.weight,0.1125125696264308,0.15957239398829148,0.11991744572567528,0.20512578706554144,0.2553623202210967
model.layers.0.mlp.gate_proj.weight,0.08438823549106808,0.1285441688745044,0.12659896487683117,0.1742715276300536,0.2011935724590174
model.layers.0.mlp.up_proj.weight,0.11377001627666357,0.18707161483138368,0.13502326380872662,0.20709550282733682,0.23944062997285848
model.layers.0.mlp.down_proj.weight,0.1151561500668864,0.13109163080740815,0.12963435314995844,0.20402378624292283,0.22469435810020777
model.layers.1.self_attn.q_proj.weight,0.060403011497692186,0.16626236602018551,0.1040444820295659,0.12505334606218704,0.1517533263733036
model.layers.1.self_attn.k_proj.weight,0.01832265422292563,0.28402973591206904,0.13161388562581683,0.11364515706314515,0.35558468354945344
model.layers.1.self_attn.v_proj.weight,0.17048771662737336,0.337164036262264,0.18582368631542434,0.24617001470796984,0.33762696789907526
model.layers.1.self_attn.o_proj.weight,0.13996054708125025,0.1684828018563108,0.11026134719096996,0.23552725023362966,0.21123586535607305
model.layers.1.mlp.gate_proj.weight,0.12716303163313675,0.16943474244722845,0.1177560594407467,0.23151828693906626,0.21923206968048478
model.layers.1.mlp.up_proj.weight,0.1459491717129739,0.21829812258947953,0.13742271623892974,0.2504048142768196,0.24157465584331414
model.layers.1.mlp.down_proj.weight,0.13775249512106755,0.16522030128575627,0.13468327626405702,0.23862521584168825,0.24139176754726183
model.layers.2.self_attn.q_proj.weight,0.058470226164523305,0.1433932457565088,0.09137561743761884,0.017474835215865424,0.05677389104355185
model.layers.2.self_attn.k_proj.weight,0.05542036764962208,0.18651175414683901,0.07856290285314284,-0.058063356703832045,-0.008128545494837883
model.layers.2.self_attn.v_proj.weight,0.20349859473886447,0.34013336132144073,0.1796659485408359,0.31473334809891873,0.3052088313778939
model.layers.2.self_attn.o_proj.weight,0.15755301565377317,0.16854328756916742,0.12694779824341543,0.2282298025419329,0.2160975780715983
model.layers.2.mlp.gate_proj.weight,0.14516925134982214,0.17621939025139943,0.13295541735871405,0.2362049597770397,0.23487331734527345
model.layers.2.mlp.up_proj.weight,0.17177742988270384,0.21018387441214756,0.13687969395462088,0.24499974273706532,0.25286074392323726
model.layers.2.mlp.down_proj.weight,0.2650116001157643,0.29831913934690363,0.17899891852479285,0.3056200073516652,0.34314555214114634
model.layers.3.self_attn.q_proj.weight,0.11951172231722126,0.22986667954106277,0.14150350029559952,0.22113826526576227,0.1941959203615339
model.layers.3.self_attn.k_proj.weight,0.23299570496314775,0.26186656089872085,0.1954290230907519,0.33576654952954926,0.24250772872705648
model.layers.3.self_attn.v_proj.weight,0.27740352731296297,0.2238619334199832,0.11745970363013268,0.3603927351990859,0.38176964550584036
model.layers.3.self_attn.o_proj.weight,0.19625779910905825,0.21588165114715036,0.16411390756974192,0.24481826663695475,0.24505713731267947
model.layers.3.mlp.gate_proj.weight,0.18400149887736014,0.1961614487681804,0.14895607084561785,0.25909422436015195,0.23564839671418011
model.layers.3.mlp.up_proj.weight,0.2145551327311036,0.24728540583720857,0.14800093523833316,0.2773872708532849,0.28114490706837497
model.layers.3.mlp.down_proj.weight,0.2761643020902539,0.3397960646483404,0.21898309081855666,0.30471290646659593,0.338651811597986
model.layers.4.self_attn.q_proj.weight,0.157280515342522,0.09555321251527797,0.09530634994211461,0.16628553193417486,0.22923905221761995
model.layers.4.self_attn.k_proj.weight,0.06346250215818956,0.08105084508640195,0.09035564333897161,0.203968245483209,0.22188271889241049
model.layers.4.self_attn.v_proj.weight,0.29841062476128183,0.34558094991617344,0.1405709002298066,0.37769941989226335,0.4466135081625136
model.layers.4.self_attn.o_proj.weight,0.22497058090491187,0.28188150350923863,0.191050127656013,0.29339615033875016,0.2705413617847538
model.layers.4.mlp.gate_proj.weight,0.19564038544583578,0.21530142335160088,0.16845899315516988,0.22396436000492548,0.2340545689614845
model.layers.4.mlp.up_proj.weight,0.21837308269525293,0.25273850001419856,0.18110438582927565,0.24766722496013052,0.2578205108551206
model.layers.4.mlp.down_proj.weight,0.19578675082565355,0.2331829892166894,0.18104425002910346,0.25026810747955264,0.23959218425433992
model.layers.5.self_attn.q_proj.weight,0.12033002052432534,0.2523478062858655,0.24932128689471475,0.18304764020106387,0.1667390804381724
model.layers.5.self_attn.k_proj.weight,0.25108017507458813,0.33955615696078123,0.40813210303878894,0.2168509872866108,0.1734358046698447
model.layers.5.self_attn.v_proj.weight,0.2806558147054979,0.3736631213187316,0.23279051593266495,0.24646055125765942,0.3738562007983875
model.layers.5.self_attn.o_proj.weight,0.2477709322380001,0.3054640061494205,0.224895216433161,0.2751898132245458,0.29176887506264615
model.layers.5.mlp.gate_proj.weight,0.2134138653012493,0.2434834408978191,0.19729160735819257,0.24872344691385115,0.21970311089592282
model.layers.5.mlp.up_proj.weight,0.2286076566406789,0.2656825141863362,0.21440554410875404,0.26224505478270654,0.24885471965965897
model.layers.5.mlp.down_proj.weight,0.21495471713708164,0.26118405523134,0.22356850858009678,0.25650296610276574,0.23413582846193315
model.layers.6.self_attn.q_proj.weight,0.21126734876535758,0.12902572270182552,0.2177681142283255,0.15865172854324808,0.2391082701341424
model.layers.6.self_attn.k_proj.weight,0.2611707086790348,0.0291175997656545,0.2786326376287242,0.11664399998255753,0.2083612872388042
model.layers.6.self_attn.v_proj.weight,0.35097915020788206,0.4097389806685703,0.319077014192335,0.34218712682735336,0.32199751692981426
model.layers.6.self_attn.o_proj.weight,0.29358731007508543,0.3246081632776853,0.2749982199556874,0.3178868830499727,0.30283500378174544
model.layers.6.mlp.gate_proj.weight,0.2349978567999529,0.25205107412692696,0.26206919855937233,0.2684749242287303,0.24971242006309347
model.layers.6.mlp.up_proj.weight,0.2677816344574496,0.27827761787516675,0.28540838709515326,0.30713121697969487,0.2810119750994675
model.layers.6.mlp.down_proj.weight,0.24054294606281665,0.26401938219301013,0.28694446704129467,0.2905752717128823,0.2582286587898299
model.layers.7.self_attn.q_proj.weight,0.19054387247637383,0.22231699869186047,0.17713101757622543,0.26045127193477846,0.19717627344735966
model.layers.7.self_attn.k_proj.weight,0.17898498717986397,0.2240486435469958,0.0758603943239086,0.263717780438562,0.15532326673098198
model.layers.7.self_attn.v_proj.weight,0.36773790726178746,0.4503503519720308,0.32104399970235714,0.3793042241689572,0.3924562162623483
model.layers.7.self_attn.o_proj.weight,0.2932722813136568,0.33585559432157036,0.3373288767578447,0.3475214336470609,0.29426396699376905
model.layers.7.mlp.gate_proj.weight,0.2506264261554525,0.287567372823126,0.3172978101060481,0.2992431734181958,0.25468915178980495
model.layers.7.mlp.up_proj.weight,0.2799119053438773,0.3159831376987379,0.33645838190864635,0.33500927630976246,0.2811908143657465
model.layers.7.mlp.down_proj.weight,0.2567338143155777,0.3007747624214986,0.3197103382261011,0.3075048983736899,0.26011832683545505
model.layers.8.self_attn.q_proj.weight,0.27136658024539834,0.2873135585233909,0.2883045848596208,0.29174979126273065,0.17317815701157865
model.layers.8.self_attn.k_proj.weight,0.3141039607755952,0.3241731782849643,0.27336508153802147,0.34965153711066976,0.13267079690277991
model.layers.8.self_attn.v_proj.weight,0.41770892370685875,0.4672431942542022,0.45452685701475876,0.43895713809102793,0.37977731737815296
model.layers.8.self_attn.o_proj.weight,0.29234996746866543,0.34758340525886433,0.36565233551319815,0.3534862707044001,0.27621466330273253
model.layers.8.mlp.gate_proj.weight,0.25526733515777966,0.29837916704749107,0.32599075662459065,0.30131615095444475,0.25448349196148645
model.layers.8.mlp.up_proj.weight,0.29359222995211687,0.32505273827131076,0.3461350200235254,0.32870718315279274,0.2745064735194381
model.layers.8.mlp.down_proj.weight,0.2485141587970297,0.29760087376953165,0.31889691969938205,0.29863791671877926,0.2519785469651913
model.layers.9.self_attn.q_proj.weight,0.268237954041435,0.31577542530952746,0.3303855037485788,0.23709950251317677,0.2480555403313211
model.layers.9.self_attn.k_proj.weight,0.3037009050601044,0.3153714381982735,0.33441557794936694,0.22766310242520751,0.3537112036829144
model.layers.9.self_attn.v_proj.weight,0.4017109435719179,0.48047243263754125,0.43183844531362264,0.4831389882317405,0.4196614756597642
model.layers.9.self_attn.o_proj.weight,0.3186963848667431,0.3583866522345356,0.391167897658205,0.3966981014721381,0.2870095840465952
model.layers.9.mlp.gate_proj.weight,0.25326180087391226,0.27428696390722007,0.3381317358264589,0.292989857286824,0.25567821344438185
model.layers.9.mlp.up_proj.weight,0.27530554245887656,0.3101982009242877,0.35275113933723956,0.30985182991826843,0.2818856558456292
model.layers.9.mlp.down_proj.weight,0.23910716790372746,0.2830347360797008,0.3374433038652698,0.2920218754999754,0.2548525495503751
model.layers.10.self_attn.q_proj.weight,0.32423257603277456,0.29669830093546956,0.3430447160845649,0.22437193369579508,0.3167305232600746
model.layers.10.self_attn.k_proj.weight,0.35937170783047295,0.3240397426479881,0.2398915798009808,0.06578520690890982,0.35221087232061077
model.layers.10.self_attn.v_proj.weight,0.3758317430113524,0.4288892004724344,0.4078281864062095,0.4366969779566718,0.3990389169954671
model.layers.10.self_attn.o_proj.weight,0.2904379646545972,0.3368145325213448,0.3643875311952261,0.34155806931291044,0.30278281079797625
model.layers.10.mlp.gate_proj.weight,0.24689050451338226,0.26614984086398985,0.3343675751032818,0.27561327189574025,0.24551905607717095
model.layers.10.mlp.up_proj.weight,0.24793171060263156,0.2979249071652774,0.3507165637353666,0.29979966898888305,0.2661711434532187
model.layers.10.mlp.down_proj.weight,0.23956993095614676,0.26936091075822455,0.3243946431373355,0.2721958919525523,0.2565097809998129
model.layers.11.self_attn.q_proj.weight,0.27480332049496403,0.28505005397612826,0.2982197797192586,0.1836540312410203,0.2488228550044215
model.layers.11.self_attn.k_proj.weight,0.2539551980140162,0.30303183629272623,0.4254013122075491,0.09770591957817154,0.19150030252345157
model.layers.11.self_attn.v_proj.weight,0.33874290451009825,0.4146882047370275,0.4134975344032033,0.3871691978057281,0.43193507330531206
model.layers.11.self_attn.o_proj.weight,0.27540813437099193,0.3084144750822741,0.3355298052633224,0.3024423601659411,0.27755406734066856
model.layers.11.mlp.gate_proj.weight,0.22030160486450104,0.23608377288291718,0.3113758949673231,0.2502508592018352,0.2336297697392822
model.layers.11.mlp.up_proj.weight,0.2350806561091382,0.2720778435095427,0.3328696256960665,0.28552849996396223,0.2514421562883513
model.layers.11.mlp.down_proj.weight,0.22864666929616803,0.24501496035213255,0.3216827866200645,0.2637407020931831,0.26141047585538774
model.layers.12.self_attn.q_proj.weight,0.20620123290924566,0.2943648800162761,0.31748429737879763,0.2193572724719632,0.3311955025537672
model.layers.12.self_attn.k_proj.weight,0.18892514469386776,0.33166715032915356,0.3742664056116368,0.23475922268960892,0.41243660065723203
model.layers.12.self_attn.v_proj.weight,0.3116899359293223,0.392671956600739,0.36888796001313484,0.30097735860184727,0.3516545247328574
model.layers.12.self_attn.o_proj.weight,0.3162510898661588,0.32725794393303065,0.39404088671887155,0.34251366763226204,0.3293042555949415
model.layers.12.mlp.gate_proj.weight,0.2254773507815161,0.2386665625787483,0.32247312591646865,0.26030700786132277,0.2741710554466756
model.layers.12.mlp.up_proj.weight,0.2522832900004415,0.2512262065759881,0.33851230575661206,0.2770748617894112,0.2824986990440909
model.layers.12.mlp.down_proj.weight,0.2485013290234026,0.2495001153158004,0.34004514561273996,0.2676665524967596,0.29065369059739726
model.layers.13.self_attn.q_proj.weight,0.2866342773669153,0.2708078883070416,0.23235198878791097,0.29354988249750474,0.31786322950003254
model.layers.13.self_attn.k_proj.weight,0.31975216501868314,0.3166389740030131,0.2208271359434183,0.30551910132845705,0.380711259976644
model.layers.13.self_attn.v_proj.weight,0.3839765957683974,0.3637035218180318,0.4011253672667715,0.28940600567361735,0.4053795905399282
model.layers.13.self_attn.o_proj.weight,0.2966148561740674,0.2992731098816596,0.37114594569129233,0.2767924700303395,0.2981546225634426
model.layers.13.mlp.gate_proj.weight,0.23163886520974178,0.2426515033110842,0.32376314159570324,0.24717754704445938,0.2565931164798108
model.layers.13.mlp.up_proj.weight,0.2419990866720736,0.26552022078082693,0.3191192771019458,0.28249569240146594,0.2812476282227508
model.layers.13.mlp.down_proj.weight,0.2578309340472663,0.2691283962769517,0.3513984567388078,0.2770927958412714,0.3041516983034521
model.layers.14.self_attn.q_proj.weight,0.26105442343695595,0.3764702751330831,0.10128979954069367,0.10485367882396478,0.318529471061132
model.layers.14.self_attn.k_proj.weight,0.6457188705647946,0.6348295970851444,-0.04015723597091266,-0.4476256512699846,0.4185763349644691
model.layers.14.self_attn.v_proj.weight,0.37057384089508155,0.37658945418332657,0.38705971278424994,0.2282262085985683,0.3563268192745815
model.layers.14.self_attn.o_proj.weight,0.2973587958789612,0.2931685563530287,0.36509196964463253,0.3034122877474403,0.30467501091503846
model.layers.14.mlp.gate_proj.weight,0.24577114904621394,0.2489301531393683,0.3021765078220858,0.279744072418898,0.26748537417948953
model.layers.14.mlp.up_proj.weight,0.26010360995962584,0.2851347320089577,0.3300178403259947,0.28046595337138014,0.2666998942328876
model.layers.14.mlp.down_proj.weight,0.25714642131263016,0.28399059690748935,0.3437264101984084,0.29863949822432656,0.3107959662693788
model.layers.15.self_attn.q_proj.weight,0.20541558483829953,0.13571659389505755,0.21008941224615962,0.2943274217048439,0.2443946231578852
model.layers.15.self_attn.k_proj.weight,0.19918311741471192,-0.010543353152603269,0.17515127146146106,0.31763459443520603,0.2149203226476397
model.layers.15.self_attn.v_proj.weight,0.30000121417442954,0.3959362070128251,0.36731045900482634,0.2938179862013841,0.32467780775776617
model.layers.15.self_attn.o_proj.weight,0.3007214033989945,0.3221310194811844,0.36496135634345883,0.2946732651932452,0.3130151108548874
model.layers.15.mlp.gate_proj.weight,0.33842351036097607,0.27178218949151833,0.29357145451539396,0.2754450523678167,0.22789170320600632
model.layers.15.mlp.up_proj.weight,0.3219882332390782,0.2509514842178105,0.31015224657710044,0.3093653562710875,0.23737925362415987
model.layers.15.mlp.down_proj.weight,0.2911716247471302,0.2628395393784045,0.3435446470517942,0.2896691669600391,0.286694568945845
