layer,lima_802,lima_849,lima_815
model.embed_tokens.weight,-0.0023891500018822136,-0.05747479924434888,-0.051204833892520105
model.layers.0.self_attn.q_proj.weight,0.05525380965960408,0.007733994410911888,-0.041114470654550386
model.layers.0.self_attn.k_proj.weight,0.008749288786224765,0.0331710052503772,-0.07454020480049255
model.layers.0.self_attn.v_proj.weight,-0.015672634353386596,0.01432040708532943,-0.00749133564111118
model.layers.0.self_attn.o_proj.weight,-0.005661464180931072,0.0013706508242318054,0.005633484845113107
model.layers.0.mlp.gate_proj.weight,0.007890953630368689,-0.009231676770860208,0.0075684216821836755
model.layers.0.mlp.up_proj.weight,-0.000601904757703002,0.004345293748225676,-0.005928116145725187
model.layers.0.mlp.down_proj.weight,0.0025593984307572606,0.0004018148660716999,0.006627426675536436
model.layers.1.self_attn.q_proj.weight,0.03251943219215167,-0.06508082278662182,0.014755978192082199
model.layers.1.self_attn.k_proj.weight,0.0406238551467746,-0.0893191650464907,-0.03835610637665338
model.layers.1.self_attn.v_proj.weight,-0.02219476289226129,0.014419934572255743,-0.006582301295489692
model.layers.1.self_attn.o_proj.weight,-0.0033606529986292284,0.011607076734860666,0.007584607807086235
model.layers.1.mlp.gate_proj.weight,-0.00831148450291638,0.006644510140945235,0.014232359556587453
model.layers.1.mlp.up_proj.weight,-0.013382323499339007,0.007477952322258375,0.021219125879266717
model.layers.1.mlp.down_proj.weight,0.007153009317607687,0.00369056989699475,0.00993792285872891
model.layers.2.self_attn.q_proj.weight,-0.0003314059853713359,0.015602847978604716,0.06863770444616346
model.layers.2.self_attn.k_proj.weight,0.02214483778375713,0.04640739405218956,0.08623379612873541
model.layers.2.self_attn.v_proj.weight,-0.015055914606532281,0.027841643168558812,-0.026713473478419587
model.layers.2.self_attn.o_proj.weight,0.002581019146263753,0.012832997538943545,0.006916410713120801
model.layers.2.mlp.gate_proj.weight,0.0065691646248420815,0.005576231591077679,0.005361807621616711
model.layers.2.mlp.up_proj.weight,0.010192699610588295,0.004615337940097956,-0.0005609645122091814
model.layers.2.mlp.down_proj.weight,-0.010227056190299844,0.009541485217344619,-0.033107416401640506
model.layers.3.self_attn.q_proj.weight,-0.04193928221989382,-0.008157088537256312,0.06413546566342801
model.layers.3.self_attn.k_proj.weight,-0.055184338055754366,-0.00604487997686666,0.10540226638526343
model.layers.3.self_attn.v_proj.weight,-0.01375789164379352,0.07644248067531384,-0.03430424774062078
model.layers.3.self_attn.o_proj.weight,-0.0016165205417292907,0.017136782585184415,-0.005691016791593247
model.layers.3.mlp.gate_proj.weight,-0.002481988134039466,0.0035851904354642396,0.009246611452569905
model.layers.3.mlp.up_proj.weight,-0.00568507281276923,0.00027114037101420624,0.026573392954653604
model.layers.3.mlp.down_proj.weight,-0.023378322434924218,-0.005218537298484748,-0.005282734427846754
model.layers.4.self_attn.q_proj.weight,-0.045919460341078945,-0.06273737657025658,0.03001877380597365
model.layers.4.self_attn.k_proj.weight,-0.025713851281116452,-0.17059969162345454,-0.01708628147194757
model.layers.4.self_attn.v_proj.weight,-0.03986858826945051,0.1111798559277029,-0.004065837206866681
model.layers.4.self_attn.o_proj.weight,-0.002880559831044994,0.010718610181800148,0.018063253813053723
model.layers.4.mlp.gate_proj.weight,-0.016775315337774432,0.01822150973501343,-0.012659383831622099
model.layers.4.mlp.up_proj.weight,-0.011881718043380125,0.003546422220580558,-0.0033922631311306592
model.layers.4.mlp.down_proj.weight,-0.0016098202936074232,0.008107015552316327,0.004900769203464177
model.layers.5.self_attn.q_proj.weight,-0.16691305266269343,0.020648878747570074,-0.027017179966654915
model.layers.5.self_attn.k_proj.weight,-0.31574116269028907,0.10904691598568395,-0.013128522610136896
model.layers.5.self_attn.v_proj.weight,0.03519570680069233,-0.007226811280202893,-0.07779044975732893
model.layers.5.self_attn.o_proj.weight,0.021407722022433493,-0.016484192490419162,0.0019650093846975817
model.layers.5.mlp.gate_proj.weight,0.00028692479744678843,-0.010425969406313353,-0.0022967306394928726
model.layers.5.mlp.up_proj.weight,0.014662443724963043,-0.015328540107637813,0.004088493042610144
model.layers.5.mlp.down_proj.weight,0.013974294645895304,-0.012279444203288893,0.01145651990957098
model.layers.6.self_attn.q_proj.weight,0.04254433729772197,-0.015668109598005263,-0.10626833454680341
model.layers.6.self_attn.k_proj.weight,0.09383508634940847,-0.03220624895982223,-0.24307703367278435
model.layers.6.self_attn.v_proj.weight,0.030846961363278646,-0.037253349991119754,0.06080479482725283
model.layers.6.self_attn.o_proj.weight,0.030167397350157565,-0.03229666863799747,0.016963580169450206
model.layers.6.mlp.gate_proj.weight,0.04620564599690379,-0.01771913753615123,0.004799944448234224
model.layers.6.mlp.up_proj.weight,0.023822891270789546,-0.014136344630721744,0.01825082964512765
model.layers.6.mlp.down_proj.weight,0.009510894156582359,-0.013613303126708194,0.016845138332873422
model.layers.7.self_attn.q_proj.weight,0.1413709626759314,-0.05236769680003345,-0.009942557627295892
model.layers.7.self_attn.k_proj.weight,0.26571446825948963,-0.21899270977342977,-0.08082149505429444
model.layers.7.self_attn.v_proj.weight,-0.019276468489388864,-0.03444215562657601,-0.04137247430672202
model.layers.7.self_attn.o_proj.weight,0.006153952333625222,-0.0299424708555658,0.028520023268299267
model.layers.7.mlp.gate_proj.weight,0.008389783369230347,-0.029670334555538188,0.019440479690174147
model.layers.7.mlp.up_proj.weight,0.014565607998799916,-0.018008202222056464,0.026746618546792476
model.layers.7.mlp.down_proj.weight,1.029077357189754e-05,-0.010072093220417726,0.02112063033005345
model.layers.8.self_attn.q_proj.weight,0.05841305873009256,0.13037024549387277,-0.006897067160035146
model.layers.8.self_attn.k_proj.weight,0.012050482087320884,0.23510834613942894,-0.1140635742867237
model.layers.8.self_attn.v_proj.weight,-0.060482093570598146,-0.006586138483057762,0.01450605505888013
model.layers.8.self_attn.o_proj.weight,-0.009395170415565092,-0.008561070094351787,0.0460712061001596
model.layers.8.mlp.gate_proj.weight,0.005758754712255023,-0.007758979516281406,0.0342062492203259
model.layers.8.mlp.up_proj.weight,0.004899161864643078,-0.0008416593503243185,0.028715691112856698
model.layers.8.mlp.down_proj.weight,0.007434256687259542,-0.010760932167792312,0.03457818835796975
model.layers.9.self_attn.q_proj.weight,0.05614912709052682,-0.022086601588180897,0.0759493944640716
model.layers.9.self_attn.k_proj.weight,0.09255510377031387,-0.004793107062064706,0.14286634307054752
model.layers.9.self_attn.v_proj.weight,-0.01240301133508691,-0.056564488833594835,0.045927991674228716
model.layers.9.self_attn.o_proj.weight,0.0046096150790161895,-0.02912985677116691,0.0636455991913508
model.layers.9.mlp.gate_proj.weight,-0.02920115238123704,-0.03723154671937814,0.0743149078873187
model.layers.9.mlp.up_proj.weight,0.0018111234118846741,-0.03228945466726662,0.0887796913672165
model.layers.9.mlp.down_proj.weight,0.01593221906182972,-0.028669824271475908,0.05457622685778587
model.layers.10.self_attn.q_proj.weight,-0.09710067636547942,-0.042597111580890724,0.08207495265340863
model.layers.10.self_attn.k_proj.weight,-0.18305957265582862,-0.08194965310814507,0.1045734938708293
model.layers.10.self_attn.v_proj.weight,-0.02456072832953482,-0.0598244769499302,0.08772511243645252
model.layers.10.self_attn.o_proj.weight,0.007782530328233446,-0.03397622930542781,0.09803888992405058
model.layers.10.mlp.gate_proj.weight,0.019615102280318302,-0.03128463545312979,0.06183019817509053
model.layers.10.mlp.up_proj.weight,0.021330757072384993,-0.02373813824322986,0.058864087790620856
model.layers.10.mlp.down_proj.weight,0.013295707840044779,-0.0326921305197928,0.0805735119522427
model.layers.11.self_attn.q_proj.weight,0.002321928730568685,-0.09339286648788574,0.10335833990182156
model.layers.11.self_attn.k_proj.weight,-0.04519454670262148,-0.12285886052907213,0.0979733351926701
model.layers.11.self_attn.v_proj.weight,0.0038870539025723256,-0.09276689467750303,0.08672286402119565
model.layers.11.self_attn.o_proj.weight,0.019401321449707958,-0.04049237880851424,0.12463231078937256
model.layers.11.mlp.gate_proj.weight,0.0284262812154584,-0.02459144654970772,0.08597371873569049
model.layers.11.mlp.up_proj.weight,0.036105592142306187,-0.01896814885255993,0.08643703585585437
model.layers.11.mlp.down_proj.weight,0.015569212258353164,-0.056252243426485556,0.06527887270595625
model.layers.12.self_attn.q_proj.weight,0.027050658765517308,-0.04098330004709254,0.004181363992452148
model.layers.12.self_attn.k_proj.weight,0.07030170779189178,-0.055772712846730674,0.004898384184100166
model.layers.12.self_attn.v_proj.weight,-0.0167492691308198,-0.11664554169249129,0.044456954803651506
model.layers.12.self_attn.o_proj.weight,0.018251876764220958,-0.061418945449946756,0.006591824932103439
model.layers.12.mlp.gate_proj.weight,0.018085435720830614,-0.04753969171454464,0.05932188900205341
model.layers.12.mlp.up_proj.weight,0.01642277838669093,-0.06550898570031945,0.09367860943923392
model.layers.12.mlp.down_proj.weight,0.00455993617143025,-0.07222775063346855,0.020850737146439008
model.layers.13.self_attn.q_proj.weight,-0.0259000456863446,-0.05755318706680462,0.029772069523499485
model.layers.13.self_attn.k_proj.weight,-0.013244864387937297,-0.012645642185455205,0.04171814953657569
model.layers.13.self_attn.v_proj.weight,0.016844955292217755,-0.14658646263411954,0.03876008955925215
model.layers.13.self_attn.o_proj.weight,0.009232342334499499,-0.05570654078223498,-0.0026829109102728655
model.layers.13.mlp.gate_proj.weight,-0.0020052186036229936,-0.04116996956291817,0.028775467723039433
model.layers.13.mlp.up_proj.weight,-0.00829017948340915,-0.2161196349050801,0.021027163007234968
model.layers.13.mlp.down_proj.weight,0.020360973313295196,-0.06676436440934189,0.019704582115462735
model.layers.14.self_attn.q_proj.weight,0.037996701826954936,0.024621721470942597,0.1449357669900233
model.layers.14.self_attn.k_proj.weight,0.41981482109374274,0.21927782858069014,0.021459388374342785
model.layers.14.self_attn.v_proj.weight,0.014587704117307513,-0.10792184096773691,0.04605678796542751
model.layers.14.self_attn.o_proj.weight,0.011374739527995824,-0.0649317723879362,0.02305665964863457
model.layers.14.mlp.gate_proj.weight,-0.00758967558947725,-0.06343451240321818,0.022389203972741644
model.layers.14.mlp.up_proj.weight,-0.008570239525272383,-0.17483392767370892,-0.030144554843440002
model.layers.14.mlp.down_proj.weight,-0.003193875776532441,-0.08350211167941206,0.07084561127558678
model.layers.15.self_attn.q_proj.weight,0.08829932974547502,-0.056735331262221564,0.1661197375666005
model.layers.15.self_attn.k_proj.weight,0.10131594576115331,-0.012814114174673819,0.1071658491258905
model.layers.15.self_attn.v_proj.weight,-0.0033734986392426895,-0.14593152936071585,0.05191849539264072
model.layers.15.self_attn.o_proj.weight,-0.0023298502031057354,-0.08288776953184929,0.03657120081603821
model.layers.15.mlp.gate_proj.weight,0.04120087657673858,-0.05202878757783319,-0.11011316296873976
model.layers.15.mlp.up_proj.weight,-0.0020458331787753226,-0.05221431821528614,0.03545293421486204
model.layers.15.mlp.down_proj.weight,0.004356447735480545,-0.12431270412015112,-0.055012028218905176
